filename,total_mosquitoes,section_1,section_1_color,section_2,section_2_color,section_3,section_3_color,section_4,section_4_color,section_5,section_5_color
DSC_6326.JPG,468,105,"rgb(0, 164, 143)",114,"rgb(18, 220, 196)",118,"rgb(136, 177, 167)",88,"rgb(206, 77, 73)",43,"rgb(168, 13, 11)"
DSC_6327.JPG,475,104,"rgb(0, 165, 144)",110,"rgb(17, 217, 194)",118,"rgb(131, 176, 165)",95,"rgb(201, 77, 73)",48,"rgb(166, 14, 11)"
DSC_6328.JPG,463,96,"rgb(0, 168, 147)",113,"rgb(19, 219, 197)",120,"rgb(136, 178, 168)",92,"rgb(206, 79, 75)",42,"rgb(172, 15, 12)"
DSC_6329.JPG,477,106,"rgb(0, 165, 144)",110,"rgb(18, 215, 193)",122,"rgb(129, 176, 165)",96,"rgb(198, 78, 74)",43,"rgb(165, 15, 12)"
DSC_6330.JPG,473,105,"rgb(0, 161, 140)",122,"rgb(17, 214, 192)",113,"rgb(129, 174, 164)",93,"rgb(197, 76, 72)",40,"rgb(162, 14, 11)"
DSC_6346.JPG,415,138,"rgb(110, 114, 115)",127,"rgb(176, 136, 140)",94,"rgb(237, 83, 87)",40,"rgb(236, 18, 19)",16,"rgb(152, 0, 0)"
DSC_6347.JPG,406,141,"rgb(108, 113, 113)",122,"rgb(175, 135, 138)",85,"rgb(235, 81, 86)",38,"rgb(233, 17, 18)",20,"rgb(144, 0, 0)"
DSC_6348.JPG,415,137,"rgb(111, 115, 116)",128,"rgb(178, 137, 140)",96,"rgb(238, 83, 87)",38,"rgb(237, 18, 19)",16,"rgb(152, 0, 0)"
DSC_6349.JPG,436,144,"rgb(109, 113, 114)",135,"rgb(175, 135, 138)",98,"rgb(235, 81, 86)",42,"rgb(234, 18, 19)",17,"rgb(149, 0, 0)"
DSC_6350.JPG,426,148,"rgb(108, 113, 113)",133,"rgb(175, 135, 138)",94,"rgb(234, 81, 85)",40,"rgb(231, 17, 18)",11,"rgb(142, 0, 0)"
DSC_6351.JPG,629,180,"rgb(109, 114, 115)",212,"rgb(174, 138, 141)",172,"rgb(235, 86, 90)",55,"rgb(236, 20, 21)",10,"rgb(160, 0, 0)"
